uniprotswissprot,ensembl_gene_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30
P38822,YHR114W,23.7902434693221,22.1389620029452,20.5333801768869,19.2119113206671,21.8641853396228,18.9682255186077,28.6818493966487,28.3703753348568,27.7699682297974,26.3197345956135,24.713881737991,29.2937936650162,28.282018283784,25.4181485362934,24.9479226955903,26.6493246147702,28.8189501732246,25.1185893575018,27.5348694421774,26.0829919124728,23.9890614278132,28.2016535386943,28.595999857629,25.7139728681619,20.0197313623913,26.9874107087707,29.525679414697,25.0876962246427,26.6011691271622,23.9282189633196
P38824,YHR116W,0.636156014378509,2.840216062297,4.28010987798891,2.94412728501449,1.73282457078926,1.99823271875524,NA,3.76486691230326,1.91986345924796,1.87707604159726,2.49206189410251,2.04118512903868,2.84329432943554,2.75852638000138,NA,NA,3.2742257801909,NA,NA,2.13877020269213,2.59629461836801,3.5583504396016,NA,2.09708182226447,3.37174394970016,1.54660367033902,3.96732942223067,3.15311943462323,4.79553645524789,2.79111674055002
P38825,YHR117W,50.0653891512184,52.6259704016882,44.1546033979877,42.5841151814572,48.9036003546575,47.3341883348711,56.7986177244197,55.600617268497,59.6024747720731,54.5926285789446,61.7293384715222,61.3135676556758,48.1562937203452,57.2381130892098,53.7211582747359,56.1542135569437,55.1263128729804,60.7241679260494,72.6206218291716,53.966724689927,61.1698192892435,53.3782377958231,52.0480183231959,60.7565799569992,60.0907849794665,65.1636656803525,61.2203679937886,53.3104762881509,64.3807149985703,57.1656145141459
P38828,YHR121W,305.121827983659,289.416407062593,304.729667580357,308.810389325085,288.394261826594,298.096896853565,264.711992504632,265.647837389666,289.043587126492,249.006249957596,270.379145199648,274.770876384403,262.622376755023,247.224793092903,273.775267431656,258.12692550191,275.262966513713,271.495122993045,292.878461045339,287.167016803732,285.493610657446,288.015538177426,315.166413729218,293.889093904265,272.000063134751,283.15605749081,304.611663412762,285.794798593092,275.578615808678,272.08386293793
P38829,YHR122W,61.8511195025861,74.1616817164654,84.2848926643849,55.4425238968071,87.2412045330936,70.9864805428035,54.1962739776178,65.2398296777698,90.2629729613702,NA,63.2709925919795,194.199567779053,57.3828998482115,48.7359948654376,56.6230512213315,65.9600306060732,75.4135470163404,57.1153985384814,55.8570929525936,68.4834874583565,63.5339062929235,68.880040400874,49.867225074926,122.916725413589,63.7576849568913,71.0174591536162,60.9611699885562,65.4206711222945,65.9187128686283,NA
P38833,YHR127W,12.733554772067,13.3037735150956,10.0270904529482,12.4780457578894,13.2001024153083,13.4087886932242,12.7613212261731,13.2018172598233,12.1488627813675,11.8337404156852,12.1925239665998,12.6014094727057,13.5671922874174,13.441799747121,12.4936051438168,12.3332150657385,13.3183240542781,10.1151432388139,14.188523994072,13.8427574729395,15.0161205927826,14.4015174840733,14.1666589740772,15.2721953205531,12.0813440958275,14.0720968759301,13.9626308408035,14.4128035116305,15.408259313995,14.4504777483751
P38836,YHR132C,125.417680852085,145.194309309567,127.332524615927,132.251045650813,124.248619574966,113.743899650449,135.364193131041,119.65056732665,126.379038048898,123.42343212005,118.710355218266,141.672111394166,118.126546612689,121.677577147158,116.717269651487,146.605046283443,139.888452390152,135.485253116672,122.483713110936,226.27613498095,129.059093386643,127.265649073447,162.897722942752,188.23680661227,153.513876968126,141.96367332321,194.965119390189,136.620722686987,141.965731461826,148.503713702458
P38840,YHR137W,48.1657693719457,49.4806005541428,86.3012272652472,145.831225315665,55.7539279993086,75.4771171007029,67.506411512934,73.7919713187864,63.7430366243512,53.5385750508344,56.5147553466453,51.2689626270588,90.3845973437772,47.9251721081091,75.9379774023525,59.6836586865288,48.5055892122247,77.8624124547769,66.9278751555875,49.1552655014292,47.1148800508157,37.0624382292004,43.6762380045288,81.7913012848344,69.2336817646124,66.9509755931079,43.3891967870084,52.7759690054351,86.7639474230397,89.1382049752549
P38841,YHR138C,240.969636163733,133.357516712497,190.869484260342,188.003641632818,105.843671343537,140.086180089305,232.667993568061,112.762784379749,92.8119800527105,161.914455183456,167.387878205983,88.0870710824305,111.74562075455,187.2272416407,213.561982783272,133.810671735764,157.364011286104,120.022912083283,117.332923770661,94.4908943222122,178.093911857691,251.59504634141,87.9778104780976,146.22178488402,191.628261942284,107.646720237005,252.330419342139,127.113980048187,159.794136045312,139.605962708111
P38845,YHR146W,248.642860396898,274.395660583254,310.042588029766,260.743400687561,263.435912675551,250.29309793473,273.100134471998,293.807584739589,262.055248194467,261.483057606855,261.206515718163,280.145449030195,223.022018490789,244.172248054541,266.585677137454,236.853723684235,240.757242890771,236.237921353928,233.090122567545,232.425107855551,230.882539856541,291.03076176083,253.384844437702,279.876636378981,328.650523756892,288.030363849743,253.160988401716,275.744697901842,311.683607411324,271.135833761172
